,wallet,总利润,盈亏比,最大盈利涨幅,最大回撤涨幅,
157,6gCTC5TVg8MEYHAAFiMqC8CaLvU5Ng4JwESwrF3ab6P8,2714.145253,27.09862802,2.992922866,-0.146020384,
241,Bitdg8uo1VH8zo7WzbUFBA8SvCX32yctmBZoP2ByX9Zs,4128.096857,26.03599162,10.68307934,-0.360282328,
366,DtKjZgrePkNa1sYgfnS7R7KLGyKXJM7zHnoc1U7r5n2R,471313.1743,25.68993246,13.44149137,-0.756733506,
90,33AzjWKH9fL3YiAunJyzqou9Z54yKpchTdmTErgdoZ7s,2281.753013,25.40950539,1.719778791,-0.114381345,
384,AKqLHqtn2YTcWSGb8RbC4G1GyGJXCU2TfZo1jWmTj9uN,4710.088277,25.07840124,3.763892246,-0.370421414,
147,9EAMfEuoT5VdhgXNTttn8fM7bT36vTKbrHNx1wSdGeLL,1692.205413,24.43864256,3.190667889,-0.262154563,
307,7JuqDo2GSFcogabkKH44jvUc5G9nhzinzPvYdTovjyb2,3749.566843,24.25821491,5.05748634,-0.295842463,
7,5TCxY1nqWeS59B2SMaiLrBUzNwQ61c63P9xz4Sb6gMjK,13727.57798,24.0339963,28.40119488,-0.784386683,
428,3rUKLfvNrCERSvMdKAptSzh9TdaUwYgupz8p4FwqbPhp,5549.579144,23.91086295,7.941361153,-0.217543435,
40,CHdLKfHiEKA1f9yxFUBPUpFPYgZuz3GkaiRLa1Bijrp5,64495.70675,22.17357649,85.36555455,-0.769217563,
479,L7bcnFSidka8MqWVG3xea3cx3Kj1DABSsqF9RHdxfkr,949.9953606,22.078936,1.369376653,-0.067641869,
469,9Zi9Snb7cTnwBWATg5nu3sE9QKTnPDa754CAFv8hHzoR,3229.74861,21.76981497,6.421015685,-0.49458925,
376,DhWDGy8twL5NgM4z4ut9oqF1pZn98fBS8Rbmp465ciFR,9619.992132,21.65518592,16.70034293,-0.435096443,
114,CcfS5a5uKTTykKBP77X55n1TQea1ACE2dcMJkQN4bcDL,9371.40905,20.73313026,11.21970448,-0.358477665,
56,DfSbNjzv7kw8yVBvwGzR6mPUEFPYeeGhuJynvNytyLQk,2268.692415,20.73196141,5.295946774,-0.216767266,
51,Bq1htfgskzyUu42dY3qye5zP9JwhbMbCFA8bgVwWF8fF,4088.196005,20.70431798,1.56311838,-0.11926138,
57,CFEX6cLrzWxXt4MsY8w6G2urRkBPkb5JL79jBnPN2mSX,11767.89882,19.74212155,5.17113009,-0.713273685,
423,8pXBfEAGwBTVkBwtBXtP5kxswLeHMzDQd8j5wGRMemWK,1784.664156,19.62936887,2.87779258,-0.061823877,
424,RmczREwNrkQpUmShkx8RR5LPA6NqKRzpmvbdZbgwvkf,4368.156396,19.20400851,11.53865348,-0.454535371,
84,DUZhN4JDfi96ohNfrFbh2esZ7Co5B31izKCeUaoavmLp,5614.295601,18.89949855,3.048467621,-0.428935012,
442,9jbMeoEjD2jBLb8kk8TwkBWCvj8KuZzMgWbr2YFQznkE,3205.647042,18.82913259,14.33298214,-0.724002876,
445,7SAeNm9mdiTSdwgQwbAzB6aoLB4EyuyQSXtXXksn7cbH,2594.423101,18.72858821,1.047819271,-0.276253368,
346,HKACBPgKwQAcygA261zTKTeM4aJfGU63KumqNbMzT4p6,3429.101548,18.65637242,4.498281702,-0.591284679,
10,EuaFqRM6M72AwRUgE2HwgCj8hn8SW6MtDCRkvqZWJKAN,13746.271,18.45500898,8.570622112,-0.782925825,
452,8xztkxNriCM9uNyiZKto3V52HbnPQWPLH9dcpNqYpDK1,9625.133909,17.99762719,2.841947387,-0.74335046,
193,9Xq5UbBEG18FctWYbngP3nSTwfVvpfV3TC6qTC6X3Ttc,3598.634822,17.24144698,5.231636848,-0.610959002,
399,4CYLiafNcmfkAfqxk6wefyjw47J1W6u3QdaXDE8brHM3,11987.31537,17.1659991,3.555869787,-0.762752876,
435,7bHZJoPnThtBusNEqR8q696y3xq2RxRVco1SrRW1hZvj,2595.052488,17.13573292,7.699176795,-0.511524017,
354,FaAF6Y3pfrC8ZVAhxao5T34zdLpGoxMYfb5HAxjYbTDn,4047.245194,16.98732583,9.069806043,-0.343650951,
33,5bCdWwBnQcNy2BwTjmS9Modk9xnQS587MYDegQ7sHdtE,3701.621619,16.80997589,2.64042366,-0.135768976,
58,3u1MsxYL44qQWTK91sTUYqz5YYxy91siC715EJcoiVip,2754.678378,16.39101548,2.213425174,-0.13131762,
321,Cri5m4HsPzYVyjaz4odj7dpFjhB6dWqA6DxdZopaQXXa,2578.683095,16.26230915,2.258175401,-0.243535125,
406,CH8j4YjUNnhxUv7fUV23ZrFGZBV66neCM5JzF4RPjgKB,2823.94162,16.20655436,0.927251714,-0.289602908,
253,CvZyq2ZTXLoRSupAYz77yBgrSbVFSZxXW4vQgqyuLx1S,3335.574943,16.09734394,6.913259095,-0.232248181,
294,9sWd8QbyUS99sT9MvrRZWXe1j4HRPN3yhEkhJuHJuUMK,1078.54463,15.90124677,3.63343863,-0.401558971,
243,EuJ9DU3KoQAhuDmrCQB2dfsiVCmAkfNNRzXU4Dr1CTXK,6819.426717,15.70497018,1.588889285,-0.934962562,
394,5CFihSKgFbMSmfiiUBfXujGi2Q5YV4Cs56aJo1x2fCAa,3154.340568,15.30766161,1.957983992,-0.350169079,
480,DDwaWMxAMEJV8ajsYHbzE7qkkJvRKaaoWk4dyz6H9z2z,3348.52577,15.19080706,6.718243248,-0.265455737,
50,4HZjVh7qAC1bhp51dTcihWm2JPUrwA4sEfZa9PaJip9k,1430.320561,14.7032992,1.942385283,-0.156410436,
385,8wkzfBWGFVu9KXCURGg3X7uUzGbp9YvYcS6LJLSKxwyF,6056.723481,14.41734558,8.973626448,-0.589549168,
306,7gJfrXvfUvPfcy3mJKFSsbV7fsQP7GsK6sttxWaJacq1,4525.708604,14.39541699,10.95830622,-0.473940847,
329,9M3miS1Dk5E6TmMxwLzNv64HU7EGsLVCSnBQ2Sn8WVk6,2007.713699,14.0701165,5.806269834,-0.40521343,
